"","headline","snippet","date","text_clean","keyword","framing_label"
"66","Hezbollah's Hassan Nasrallah accuses Saudi Arabia of 'terrorism ...","Jan 3, 2022 ... Hezbollah Secretary-General Hassan Nasrallah has accused Saudi Arabia of exporting ISIL (ISIS) ideology and transporting cars rigged with explosives for ...","Last update 4 Jan 2022","hezbollahs hassan nasrallah accuses saudi arabia terrorism jan hezbollah secretarygeneral hassan nasrallah accused saudi arabia exporting isil isis ideology transporting cars rigged explosives  ","Terrorism","Terrorism"
"67","Beirut wants 'terrorism' defined | News | Al Jazeera","Jan 13, 2004 ... Beirut wants 'terrorism' defined. Lebanese President Emile Lahoud has called for an international definition of terrorism, extending beyond that ...","13 Jan 2004","beirut wants terrorism defined news al jazeera jan beirut wants terrorism defined lebanese president emile lahoud called international definition terrorism extending beyond  ","Terrorism","Terrorism"
"68","What is Pakistan's Imran Khan accused of? | Imran Khan News | Al ...","Mar 17, 2023 ... The cases against the 70-year-old cricketer-turned-politician include charges of corruption, terrorism, contempt of courts, rioting and even blasphemy.","Last update 9 May 2023"," pakistans imran khan accused imran khan news al mar cases yearold cricketerturnedpolitician include charges corruption terrorism contempt courts rioting even blasphemi","Terrorism","Terrorism"
"69","Imran Khan, Bushra Bibi face 'terrorism' charges after Islamabad ...","Nov 28, 2024 ... Khan, Bibi and others have been accused of “terrorism”, violations of a law that restricts protests in the capital, attacks on police, abduction ...","Last update 28 Nov 2024","imran khan bushra bibi face terrorism charges islamabad nov khan bibi others accused “terrorism” violations law restricts protests capital attacks police abduction ","Terrorism","Terrorism"
"70","UN chief calls for Sudan removal from US 'terrorism' list | News | Al ...","Feb 10, 2020 ... UN Secretary-General Antonio Guterres has called for Sudan to be removed from the US list of state sponsors of terrorism.","Last update 10 Feb 2020","un chief calls sudan removal us terrorism list news al feb un secretarygeneral antonio guterres called sudan removed us list state sponsors terror","Terrorism","Terrorism"
"71","Israel ties will help remove Sudan from US terrorism list: Dagalo ...","Oct 3, 2020 ... Dagalo, also known as Hemeti, said establishing relations with Israel will fulfil a promise by the United States to remove Sudan from its list of countries ...","Last update 3 Oct 2020","israel ties will help remove sudan us terrorism list dagalo oct dagalo also known hemeti said establishing relations israel will fulfil promise united states remove sudan list countries ","Terrorism","Terrorism"
"72","Niger adopts new wire-tapping legislation on curbing 'terrorism ...","May 30, 2020 ... Niger adopts new wire-tapping legislation on curbing 'terrorism'. Opposition raises privacy concerns but government insists new law 'is not a ...","Last update 30 May 2020","niger adopts new wiretapping legislation curbing terrorism may niger adopts new wiretapping legislation curbing terrorism opposition raises privacy concerns government insists new law  ","Terrorism","Terrorism"
"73","Saudi Arabia executes two Bahrainis accused of 'terrorism' | News ...","May 29, 2023 ... Saudi Arabia has put to death two Bahrainis accused of plotting “terrorist” operations, the Saudi Ministry of Interior said on Monday, raising ...","29 May 2023","saudi arabia executes two bahrainis accused terrorism news may saudi arabia put death two bahrainis accused plotting “terrorist” operations saudi ministry interior said monday raising ","Terrorism","Terrorism"
"74","The wrong mindset to fight terrorism | Bashar al-Assad | Al Jazeera","Mar 25, 2016 ... Indiscriminate attacks. What all of these attacks have in common is the desire to terrorise and paralyse civilian life and the daily routines of ...","Last update 25 Mar 2016"," wrong mindset fight terrorism bashar alassad al jazeera mar indiscriminate attacks attacks common desire terrorise paralyse civilian life daily routines  ","Terrorism","Terrorism"
"75","Russian playwright and director go on trial over 'justifying terrorism ...","May 20, 2024 ... Russian playwright and director go on trial over 'justifying terrorism'. Director Yevgeniya Berkovich and writer Svetlana Petriychuk were ...","20 May 2024","russian playwright director go trial justifying terrorism may russian playwright director go trial justifying terrorism director yevgeniya berkovich writer svetlana petriychuk  ","Terrorism","Terrorism"
